,Código comuna,Región,Nombre comuna,Número de personas en situación de pobreza por ingresos,Porcentaje de personas en situación de pobreza por ingresos 2015,Límite inferior,Límite superior,Metodología de Estimación
2,1101,I de Tarapacá ,Iquique,9491,0.05329417809844017,0.03460518643260002,0.08122717589139938,Estimación Directa
3,1107,I de Tarapacá ,Alto Hospicio,9768,0.08507228642702103,0.0641370639204979,0.11202307045459747,Estimación Directa
4,1401,I de Tarapacá ,Pozo Almonte,1515,0.1032649427652359,0.07276186347007751,0.14456182718276978,Estimación Directa
5,1402,I de Tarapacá ,Camiña,300.2006,0.3486649990081787,0.2764061689376831,0.4537043273448944,SAE
6,1403,I de Tarapacá ,Colchane,328.2058,0.23956629633903503,,,IMC
7,1404,I de Tarapacá ,Huara,716.4396,0.220307394862175,0.1585572212934494,0.2822335362434387,SAE
8,1405,I de Tarapacá ,Pica,1753.502,0.12739771604537964,0.07932793349027634,0.16913920640945435,SAE
9,2101,II de Antofagasta ,Antofagasta,19284,0.05123572424054146,0.03294146806001663,0.0788613110780716,Estimación Directa
10,2102,II de Antofagasta ,Mejillones,722.1885,0.06241365894675255,0.029664916917681694,0.11104565113782883,SAE
11,2103,II de Antofagasta ,Sierra Gorda,166.9298,0.08309098333120346,0.04033568501472473,0.17358249425888062,SAE
12,2104,II de Antofagasta ,Taltal,371.9288,0.04262794554233551,0.016437044367194176,0.07490961253643036,SAE
13,2201,II de Antofagasta ,Calama,7218,0.049697395414114,0.022089868783950806,0.10799785703420639,Estimación Directa
14,2202,II de Antofagasta ,Ollagüe,34.0071,0.2237308919429779,,,IMC
15,2203,II de Antofagasta ,San Pedro De Atacama,393.4333,0.04452114552259445,0.004855552222579718,0.06778708845376968,SAE
16,2301,II de Antofagasta ,Tocopilla,2107,0.11124604195356369,0.06549385190010071,0.18271052837371826,Estimación Directa
17,2302,II de Antofagasta ,María Elena,216.5157,0.08551173657178879,0.058016564697027206,0.16659702360630035,SAE
18,3101,III de Atacama ,Copiapó,7934,0.04624216631054878,0.03130846098065376,0.06780048459768295,Estimación Directa
19,3102,III de Atacama ,Caldera,793.892,0.05314936116337776,0.0255117267370224,0.07988381385803223,SAE
20,3103,III de Atacama ,Tierra Amarilla,1455.921,0.11983873695135117,0.07869860529899597,0.168986514210701,SAE
21,3201,III de Atacama ,Chañaral,673,0.05764453858137131,0.03455454483628273,0.09465105086565018,Estimación Directa
22,3202,III de Atacama ,Diego De Almagro,443.4497,0.049392927438020706,0.0277105662971735,0.07678479701280594,SAE
23,3301,III de Atacama ,Vallenar,4475,0.10194086283445358,0.07138000428676605,0.14356330037117004,Estimación Directa
24,3302,III de Atacama ,Alto Del Carmen,838.3133,0.18712350726127625,0.10917489975690842,0.2574715316295624,SAE
25,3303,III de Atacama ,Freirina,793.801,0.13781267404556274,0.09468799829483032,0.190415158867836,SAE
26,3304,III de Atacama ,Huasco,1042.098,0.13465538620948792,0.09501417726278305,0.1937558948993683,SAE
27,4101,IV de Coquimbo ,La Serena,20243,0.08761876076459885,0.06814602017402649,0.11198713630437851,Estimación Directa
28,4102,IV de Coquimbo ,Coquimbo,22658,0.0972229391336441,0.07575329393148422,0.12396129965782166,Estimación Directa
29,4103,IV de Coquimbo ,Andacollo,657.244,0.08537853509187698,0.04111727327108383,0.1127706915140152,SAE
30,4104,IV de Coquimbo ,La Higuera,830.5192,0.2221827656030655,0.16724994778633118,0.27275174856185913,SAE
31,4105,IV de Coquimbo ,Paiguano,469.3243,0.10348937660455704,0.04273929446935654,0.13536247611045837,SAE
32,4106,IV de Coquimbo ,Vicuña,3373,0.12818758189678192,0.09423110634088516,0.17205603420734406,Estimación Directa
33,4201,IV de Coquimbo ,Illapel,5474,0.18050517141819,0.14659130573272705,0.22024019062519073,Estimación Directa
34,4202,IV de Coquimbo ,Canela,2346.344,0.31255409121513367,0.24597828090190887,0.36994069814682007,SAE
35,4203,IV de Coquimbo ,Los Vilos,2957.282,0.16023418307304382,0.12013755738735199,0.19819772243499756,SAE
36,4204,IV de Coquimbo ,Salamanca,3512.996,0.15016654133796692,0.10228021442890167,0.190291166305542,SAE
37,4301,IV de Coquimbo ,Ovalle,24005,0.211643248796463,0.17733949422836304,0.25056153535842896,Estimación Directa
38,4302,IV de Coquimbo ,Combarbalá,2855.485,0.2501301169395447,0.19083130359649658,0.315739244222641,SAE
39,4303,IV de Coquimbo ,Monte Patria,9767.548,0.30554142594337463,0.26037684082984924,0.36658424139022827,SAE
40,4304,IV de Coquimbo ,Punitaqui,2871.596,0.27542644739151,0.22054071724414825,0.33897489309310913,SAE
41,4305,IV de Coquimbo ,Río Hurtado,1817.292,0.44893568754196167,0.41596314311027527,0.6020699143409729,SAE
42,5101,V de Valparaíso ,Valparaíso,39310,0.15417197346687317,0.12634789943695068,0.18681319057941437,Estimación Directa
43,5102,V de Valparaíso ,Casablanca,3307.29,0.10139463096857071,0.05547909066081047,0.14495496451854706,SAE
44,5103,V de Valparaíso ,Concon,3964,0.054038580507040024,0.027158943936228752,0.10465940833091736,Estimación Directa
45,5104,V de Valparaíso ,Juan Fernández,70.36058,0.07398588955402374,,,IMC
46,5105,V de Valparaíso ,Puchuncaví,2593.517,0.1499663144350052,0.1052103266119957,0.2264561504125595,SAE
47,5107,V de Valparaíso ,Quintero,4315.82,0.1583554744720459,0.11830776184797287,0.24324281513690948,SAE
48,5109,V de Valparaíso ,Viña Del Mar,27597,0.09810871630907059,0.07177527248859406,0.13272212445735931,Estimación Directa
49,5201,V de Valparaíso ,Isla De Pascua,428.2672,0.07966279238462448,,,IMC
50,5301,V de Valparaíso ,Los Andes,4042,0.05311920866370201,0.029737552627921104,0.09312067180871964,Estimación Directa
51,5302,V de Valparaíso ,Calle Larga,1692.182,0.15659649670124054,0.1048242598772049,0.23954100906848907,SAE
52,5303,V de Valparaíso ,Rinconada,1267.627,0.15092596411705017,0.08847130835056305,0.2124602347612381,SAE
53,5304,V de Valparaíso ,San Esteban,2677.234,0.14534388482570648,0.09237612038850784,0.22132307291030884,SAE
54,5401,V de Valparaíso ,La Ligua,6966,0.17672128975391388,0.1427726149559021,0.2167016863822937,Estimación Directa
55,5402,V de Valparaíso ,Cabildo,4587.846,0.21549300849437714,0.1683015078306198,0.3048124313354492,SAE
56,5403,V de Valparaíso ,Papudo,301.4731,0.05284365639090538,0.016169456765055656,0.10309910774230957,SAE
57,5404,V de Valparaíso ,Petorca,1953.794,0.2048216611146927,0.13693469762802124,0.2735899090766907,SAE
58,5405,V de Valparaíso ,Zapallar,1161.239,0.15175621211528778,0.09973442554473877,0.2261447310447693,SAE
59,5501,V de Valparaíso ,Quillota,9426,0.10549642145633698,0.0732889473438263,0.14957329630851746,Estimación Directa
60,5502,V de Valparaíso ,Calera,11083,0.19814424216747284,0.1461024284362793,0.2630136013031006,Estimación Directa
61,5503,V de Valparaíso ,Hijuelas,1756.88,0.08869102597236633,0.040515732020139694,0.12689225375652313,SAE
62,5504,V de Valparaíso ,La Cruz,1019.231,0.059870216995477676,0.0245982576161623,0.09506230801343918,SAE
63,5506,V de Valparaíso ,Nogales,4373.39,0.16093429923057556,0.11227727681398392,0.23518088459968567,SAE
64,5601,V de Valparaíso ,San Antonio,7771,0.07710472494363785,0.044739656150341034,0.12970396876335144,Estimación Directa
65,5602,V de Valparaíso ,Algarrobo,643.4481,0.043077461421489716,0.004962919279932976,0.0632503554224968,SAE
66,5603,V de Valparaíso ,Cartagena,3784.607,0.13257458806037903,0.0713001936674118,0.188251331448555,SAE
67,5604,V de Valparaíso ,El Quisco,1441,0.08188430219888687,0.04168497025966644,0.15459640324115753,Estimación Directa
68,5605,V de Valparaíso ,El Tabo,1809.964,0.13436998426914215,0.07886820286512375,0.21456179022789001,SAE
69,5606,V de Valparaíso ,Santo Domingo,515.4626,0.05412249267101288,0.017732152715325356,0.0802750512957573,SAE
70,5701,V de Valparaíso ,San Felipe,11491,0.14221887290477753,0.09594731032848358,0.20572733879089355,Estimación Directa
71,5702,V de Valparaíso ,Catemu,2742.312,0.2046196311712265,0.151522696018219,0.2961159646511078,SAE
72,5703,V de Valparaíso ,Llaillay,3958.01,0.16587086021900177,0.1187669038772583,0.2372172623872757,SAE
73,5704,V de Valparaíso ,Panquehue,1268.008,0.16363507509231567,0.10575791448354721,0.23179936408996582,SAE
74,5705,V de Valparaíso ,Putaendo,3171.664,0.18103104829788208,0.11291956901550293,0.2504563331604004,SAE
75,5706,V de Valparaíso ,Santa María,2773.729,0.18473052978515625,0.12488028407096863,0.2676626443862915,SAE
